score,sentence1,sentence2
2,How about some testimonies from real health experts?,"Also, who's to say there aren't testimonies from ""real"" health experts on there?"
0,"""Then the captain was gone.",Then the captain came back.
2,The problem is simpler than that.,The problem is simple.
0,NEGATIVE RECONNAISSANCE REQUIREMENTS.,PACIFIC REQUIREMENTS .
0,"So, I am dropping, for now, asking you the question: "" Where ' s the Marx "" ?","I am moving on to ask you the question: "" Where ' s the beef "" ?"
2,go figure You're asking me to prove a negative?,You're asking me to prove a negative?
2,I am OK with MEDICAL use!,I AM OK WITH MEDICAL USE!!
0,The prices for everything you need have gone up due to inflation.,The prices of everything you own IE assets have gone down.
2,War in the middle east.,A WAR in the middle east.
0,Originally Posted by Vienna How was it authoritarian?,Originally Posted by zaf I give up.
0,Imagine a place that's % white and % black.,Imagine a place with % men and % women.
2,There's no chance of a fair trial.,there is no chance at a fair trial.
2,Nirvana is very different than oblivion.,Nirvana is NOT oblivion.
2,We in Britain think differently to Americans.,Originally Posted by zaf We in Britain think differently to Americans.
2,If you answer yes to  and no to  you are probably straight.,If you answer no to  but yes to  then you are probably straight.
1,The whole earth combined produces enough food for  billion people.,Who does it now only produce enough for  billion?
2,BTW he had appropriate deferments for the time.,"Appropriate deferments for the time, eh?"
2,"Hey, Blue-Eyes, How's things in London?","**smooches Ran** Hey, Blue-Eyes, How's things in London?"
1,but in the news broadcasts i have seen they did call him white.,"but it seems it would have less ""impact"" if they didn't call him white."
1,"According to the girlfriend and Zimmerman, he did.",According to Zimmerman he did.
1,My parents have told me it is bad for you.,My teachers have told me it is bad for you.
2,.Nazi is a slang term for the NSWP.,Originally Posted by Odins eye .Nazi is a slang term for the NSWP.
0,I oppose the death penalty.,This is why I support the death penalty.
1,"Well, whatever, you are now.","Well, whatever, you're aware of it now."
1,"They produce nothing I can eat, wear, live in.","Think about all the things you can't ""eat, wear, or live in""."
2,DICKSHOT Matt Holliday owns.,"Matt Holliday owns, y'all."
1,People exploited the laws.,People bent the laws.
1,"Funny, I thought the same thing about some math.",And here I thought I knew me some math.
1,"I have  years of ""Neener Neener"" rights I use lettuce too.","I have  years of ""Neener Neener"" rights Hi Wiggies!"
2,"I don't prefix or suffix everything with ""you hate Jews.""",You should stop prefixing or suffixing everything with you hate Jews.
2,I wood have asked her if she is up for a treesome.,I wood have at least asked if a threesome was out of the question.
0,It still makes no sense.,It's you who makes no sense.
0,More expensive homes.,More expensive cars.
0,"Martin said, ""Why are you following me?""","Zimmerman replied, ""What are you doing here?"""
0,ALTHOUGH SATELLITE INTENSITY ESTIMATES FROM TAFB AND SAB ARE ONLY T./,SUBJECTIVE DVORAK INTENSITY ESTIMATES FROM TAFB AND SAB INCREASED TO  KT.
0,"""Fairies don't exist"" - fine.","""Satyrs don't exist"" - fine."
1,You wanna know what I find curious?,That's what I find curious.
1,When did I compare homo sexuaity with a developmental disorder?,I compared homo phobia with a developmental disorder.
1,"If you asked , conservatives, the numbers will be skewed to the right.","If you asked , progressives, the numbers would be skewed to the left."
0,You didn't mention PFA before that one post.,I didn't mention restraining order either.
1,Ramblin' Rose by Nat King Cole We are all vessels filled with many wonders.,Eye of the Tiger We are all vessels filled with many wonders.
2,from the year prior., warmed.C from the year prior.
0,Still love this show.,"Holy poo poo, this show."
2,their vast properties are protected by the govt.,their great wealth is protected by the govt.
2,"Fundimental difference, please?",Fundamental difference?
0,How exactly is Germany being 'punished' for the stupidity of WW?,How exactly are they being punished?
2,"Z stalked him down, then shot him.","You claimed Zimmerman "" Stalked him down, then shot him ""."
2,"I'm not outraged, I'm disappointed.","God bless I'm not outraged, I'm disappointed."
0,We never got out of it in the first place!,Where does the money come from in the first place?
1,Freedom of speech has consequences!,If freedom of speech has consequences then it is not free.
1,My parents have told me it is bad for you.,My teachers have told me it is bad for you.
0,"if you could kill one person to save four, would you?","As to would I kill  person to save , I have no idea."
0,It's not imposing morals.,It's imposing a law.
2,It depends how you define extreme.,"Depends on how you define ""extreme""."
0,At least Mexico had a presence in California.,Mexico has ZERO claim to California.
2,"So YES, we DO read the bible to learn about Christianity.",personally i would read the bible to learn about christianity.
2,"Ah ha, ha, ha, ha, ha!","Ha, ha, ha, ha, ha, ha!"
2,And that's why you're yelling at me and refusing to answer my questions?,Still refusing to answer my questions?
2,"You have too much regulation, not too little.","You have to much intervention in free markets, not too little."
2,The Human Element You could sign Lance Berkman at the end of the year I guess?,You could sign Lance Berkman at the end of the year I guess?
1,Why was the Book of Thomas left out of the canon?,Why would the addition of more of Jesus words be left out of the canon?
0,"You mean, you believe the word of the Mainstream Media?","You mean, you believe the word of the SpringHallConvert?"
1,We are meant to explore.,We are meant to move.
2,"Israel doesn't give a ****, accept it.",That Israel doesn't giva a **** what anybody else thinks.
2,We are all vessels filled with many wonders.,I Want to Rock and Roll by Kiss We are all vessels filled with many wonders.
2,Slutstamp! A dear friend from Ohio sent me this.,A dear friend from Ohio sent me this.
0,"And yet, the Titanic story is the one that holds up to scrutiny of the evidence.",The new study shows that the Titanic story does not stand up to scrutiny imo.
2,Can he really make mone from google ad sense.,Who makes money off google ad sense?
2,They know that the video doesn't show a gas chamber.,The bottom line is that the video clip doesn't show a gas chamber.
2,"Warm , maybe record.","Warmer , almost certainly a record."
1,"""Bright but scatterbrained"" becomes ""treat with drugs"".","""Opinionated and stubborn"" becomes treat with drugs""."
0,"What is your definition of ""life""?",What's your definition of nature?
1,Could be a lot of things.,Could be a simple mistake.
2,"No extortion, no bribery, no money involved He's asking for money for his vote.","No extortion, no bribery, no money involved Only class E felonies."
2,Dr. Neander's revised version.,"Neander's revised version""?"
1,Should I just tell her how I feel?,Should I just wait it out and see how it goes?
0,I. ATLANTIC REQUIREMENTS .,PACIFIC REQUIREMENTS .
1,you have no remains of a missile at the pentagon.,you have no witnesses for a missile at the pentagon.
1,"""Jane"" wants me to ask the helpful party guest to pay for it.",I can't believe she is asking YOU to ask the helpful party guest for money!
0,any woman that wants birth control can get it.,Any woman that wants and abortion can get one.
