score,sentence1,sentence2
2,A plane is taking off.,An air plane is taking off.
2,A man is playing a large flute.,A man is playing a flute.
2,A man is spreading shreded cheese on a pizza.,A man is spreading shredded cheese on an uncooked pizza.
1,Three men are playing chess.,Two men are playing chess.
2,A man is playing the cello.,A man seated is playing the cello.
2,Some men are fighting.,Two men are fighting.
0,A man is smoking.,A man is skating.
0,The man is playing the piano.,The man is playing the guitar.
1,A man is playing on a guitar and singing.,A woman is playing an acoustic guitar and singing.
2,A person is throwing a cat on to the ceiling.,A person throws a cat on the ceiling.
2,The man hit the other man with a stick.,The man spanked the other man with a stick.
2,A woman picks up and holds a baby kangaroo.,A woman picks up and holds a baby kangaroo in her arms.
2,A man is playing a flute.,A man is playing a bamboo flute.
2,A person is folding a piece of paper.,Someone is folding a piece of paper.
0,A man is running on the road.,A panda dog is running on the road.
2,A dog is trying to get bacon off his back.,A dog is trying to eat the bacon on its back.
2,The polar bear is sliding on the snow.,A polar bear is sliding across the snow.
0,A woman is writing.,A woman is swimming.
2,A cat is rubbing against baby's face.,A cat is rubbing against a baby.
2,The man is riding a horse.,A man is riding on a horse.
2,A man pours oil into a pot.,A man pours wine in a pot.
1,A man is playing a guitar.,A girl is playing a guitar.
2,A panda is sliding down a slide.,A panda slides down a slide.
2,A woman is eating something.,A woman is eating meat.
2,A woman peels a potato.,A woman is peeling a potato.
2,The boy fell off his bike.,A boy falls off his bike.
2,The woman is playing the flute.,A woman is playing a flute.
2,A rabbit is running from an eagle.,A hare is running from a eagle.
2,The woman is frying a breaded pork chop.,A woman is cooking a breaded pork chop.
2,A girl is flying a kite.,A girl running is flying a kite.
2,A man is riding a mechanical bull.,A man rode a mechanical bull.
2,The man is playing the guitar.,A man is playing a guitar.
2,A woman is dancing and singing with other women.,A woman is dancing and singing in the rain.
1,A man is slicing a bun.,A man is slicing an onion.
2,A man is pouring oil into a pan.,A man is pouring oil into a skillet.
2,A lion is playing with people.,A lion is playing with two men.
2,A dog rides a skateboard.,A dog is riding a skateboard.
2,Someone is carving a statue.,A man is carving a statue.
1,A woman is slicing an onion.,A man is cutting an onion.
2,A woman peels shrimp.,A woman is peeling shrimp.
2,A woman is frying fish.,A woman is cooking fish.
2,A woman is playing an electric guitar.,A woman is playing a guitar.
0,A baby tiger is playing with a ball.,A baby is playing with a doll.
0,A person is slicing a tomato.,A person is slicing some meat.
2,A person cuts an onion.,A person is cutting an onion.
0,A man is playing the piano.,A woman is playing the violin.
0,A woman is playing the flute.,A man is playing the guitar.
1,A man is cutting up a potato.,A man is cutting up carrots.
2,A kid is playing guitar.,A boy is playing a guitar.
2,A boy is playing guitar.,A man is playing a guitar.
2,A man is playing guitar.,A boy is playing a guitar.
2,A little boy is playing a keyboard.,A boy is playing key board.
2,A man is playing a guitar.,A man is playing an electric guitar.
2,A dog licks a baby.,A dog is licking a baby.
2,A woman is slicing an onion.,A man is cutting and onion.
0,A man is playing the guitar.,A man is playing the drums.
2,A woman is slicing a pepper.,A woman is cutting a red pepper.
2,A man is playing the drums.,A man plays the drum.
2,A woman rides a horse.,A woman is riding a horse.
2,A man is eating a banana by a tree.,A man is eating a banana.
0,A cat is playing a key board.,A man is playing two keyboards.
2,A man chops down a tree with an axe.,A man cut a tree with an axe.
2,A kid plays with a toy phone.,A little boy plays with a toy phone.
0,A man is riding a motorcycle.,A man is riding a horse.
0,A man is riding a motorcycle.,A man is riding a horse.
2,A squirrel is spinning around in circles.,A squirrel runs around in circles.
2,A man and a woman are kissing.,A man and woman kiss.
2,A man is getting into a car.,A man is getting into a car in a garage.
0,A man is dancing.,A man is talking.
1,A man is playing the guitar and singing.,A man is playing the guitar.
2,A person is cutting mushrooms.,A person is cutting mushrooms with a knife.
0,A tiger cub is making a sound.,A tiger is walking around.
1,A person is slicing onions.,A person is peeling an onion.
0,A man is playing the piano.,A man is playing the trumpet.
0,A woman is peeling a potato.,A woman is peeling an apple.
2,A pankda is eating bamboo.,A panda bear is eating some bamboo.
0,A person is peeling an onion.,A person is peeling an eggplant.
2,A monkey pushes another monkey.,The monkey pushed the other monkey.
2,A squirrel runs around in circles.,A squirrel is moving in circles.
2,A man is tying his shoe.,A man ties his shoe.
2,A boy is singing and playing the piano.,A boy is playing the piano.
2,A dog is eating water melon.,A dog is eating a piece of watermelon.
2,A woman is chopping broccoli.,A woman is chopping broccoli with a knife.
2,A man is peeling a potato.,A man peeled a potatoe.
1,A woman is playing a guitar.,A man plays a guitar.
0,A woman is slicing tomato.,A man is slicing onion.
0,A man swims underwater.,A woman is swimming underwater.
0,A man and woman are talking.,A man and woman is eating.
2,A small dog is chasing a yoga ball.,A dog is chasing a ball.
1,The men are playing cricket.,The men are playing basketball.
2,A man rides off on a motorcycle.,A man is riding on a motorcycle.
2,A man is playing a guitar.,A man is singing and playing a guitar.
2,The man talked on the telephone.,The man is talking on the phone.
0,A man is fishing.,A man is exercising.
0,A man is levitating.,A man is talking.
0,Two boys are driving.,Two bays are dancing.
1,A man is riding on a horse.,A girl is riding a horse.
0,A man is riding a bicycle.,A monkey is riding a bike.
1,A man is slicing potatoes.,A woman is peeling potato.
1,A woman is peeling a potato.,A man is slicing potato.
2,A man is playing a guitar.,Someoen is playing guitar.
1,A woman is slicing a leek.,A woman is slicing ginger.
2,The man cut a paper plate.,A man is cutting a paper plate.
0,The man is playing the guitar.,A man is playing the flute.
0,A man is playing the piano.,The man is playing the violin.
1,A woman is slicing up some meat.,A woman is breading some meat.
2,A man is playing on his keyboard.,A man is playing a keyboard piano.
2,The lady chopped up the green onions.,The lady cut up a green onion.
2,Someone is sitring noodles in water.,A woman is boiling noodles in water.
2,Lionel Richie is dancing on the ceiling.,Lionel Ritchie dances while standing on the ceiling.
2,A man is playing a piano.,A person is playing the piano.
2,A woman is playing flute.,A woman plays on a flute.
2,A boy is checking a calender.,A boy is looking at a calendar.
2,A woman is cutting an onion.,A woman is chopping onions.
2,A man is playing guitar.,A man plays a guitar.
2,A woman is using a sewing machine.,A woman is sewing on a machine.
1,A woman is flipping pancakes.,A cartoon chef is flipping pancakes.
0,A man is running on the road.,A car is driving down the road.
0,A man is riding on a horse.,A man is talking on a phone.
0,A man is riding a bike.,A man is riding on a horse.
0,A woman is dancing.,A man is eating.
0,A man is playing a piano.,A man is playing a flute.
0,A man is playing a flute.,A man is playing a piano.
0,A man is spinning.,A man is dancing.
2,A monkey is swinging from limb to limb.,A monkey is swinging from tree to tree.
2,The people got off the train.,The people got off the train at the station.
2,A dog is jumping on a trampoline.,A dog bounces on a trampoline.
1,A boy is playing an instrument.,A man is playing a trumpet.
0,A woman plays the guitar.,A man sings and plays the guitar.
0,A woman is picking a can.,A woman is slicing a tomato.
2,A man is climbing a rope.,A man climbs up a rope.
0,A man is lifting a car.,A man is climbing a wall.
2,A man and woman are driving down the street in a jeep.,A man and woman are driving down the road in an open air vehicle.
2,The shirtless man sat in a chair.,A shirtless man is sitting on a chair.
2,Two women are wrestling.,Two women are wrestling on the floor.
2,The puppy played with a blue tennis ball.,A puppy is playing with a tennis ball.
2,A kangroo is eating something.,A kangaroo is eating.
0,A cat is playing a piano.,A man is playing a guitar.
2,The man cut some carpet with a knife.,A man is cutting carpet with a knife.
1,A woman is riding a motorized scooter down a road.,A man is riding a motor scooter.
2,someone is slicing a vegetable.,Someone is slicing a tomato.
0,A woman is dancing.,A man is talking.
1,A dog licks up a baby's drool.,A dog licks a baby.
0,A man is rowing a boat.,A man is slicing a tomato.
2,A man cuts up potatos.,A man slices potatoes.
2,A woman is chopping up garlic.,The woman is dicing garlic.
2,An animal run in circles.,A squirrel runs in circles.
2,A man is walking slowly across a rope bridge.,A boy is walking across a bridge.
2,A man is playing the guitar.,A man seated in a room is playing the guitar.
2,A man plays the flute.,A man is playing a flute.
2,A woman cracks two eggs into a glass bowl.,A woman is cracking an egg into a bowl.
2,A man is cutting a fish.,A man guts a fish.
2,Two men are packing suitcases into the trunk of a car.,The men are putting suitcases into the car's trunk.
2,A man pours oil on some tomatos.,The man poured oil on the cut tomatoes.
2,A man is slicing something.,A man is slicing a bun.
0,A man is paddling a canoe.,A man is playing a harp.
2,A man and woman are walking together through the woods.,A man and woman are walking arm in arm through a wooded area.
2,The woman picked up the kangaroo.,A woman picks up a baby kangaroo.
2,Fish are swimming.,A fish is swimming.
2,Two women mix something in a food processor.,Two women make something in a blender.
2,A person is surfing a large wave.,A person is surfing.
0,A man is playing a guitar.,A man is stabbing a target.
0,A man is playing a flute in a band.,A man is playing a guitar.
2,The man spread butter on the loaf of bread.,A man is spreading butter onto bread.
2,A person is boiling noodles.,A woman is boiling noodles in water.
2,A group of people dance on a hill.,A group of people are dancing.
0,A man is dancing outside.,A man is playing flute.
0,A woman is feeding a man.,A woman is mixing meat.
0,A man is putting a pan into an oven.,A woman is cutting an onion.
0,A woman is sitting at a desk.,A woman is riding a donkey.
2,Medics transport a patient on a stretcher.,A doctor rushes a patient on a stretcher.
2,A woman is playing a flute on stage.,The woman is playing the flute.
2,Two baby pandas are playing.,Two pandas are laying together.
2,A baby is laughing.,A baby is laughing and giggling.
0,A man is playing a guitar.,A boy is playing a piano.
0,A man is folding paper.,A woman is slicing a pepper.
0,Three women are dancing.,The man is dancing.
1,The cats are playing with each other.,Two cats are fighting each other.
2,A person is writing.,A person is writing with a pencil.
2,A man is running.,A man is running down a road.
2,The woman is rolling dough.,A woman is flouring and rolling dough.
1,A woman is adding spices on a meat.,Woman is adding sugar to meat.
1,A woman is adding oil on fishes.,A woman is pouring water on fish.
1,A young boy is holding a guitar.,A little boy is playing a guitar.
2,A cheetah is running.,A cheetah is running across a field.
2,The man is eating pizza.,A man is eating a slice of pizza.
2,An orangutan is riding a bus.,A monkey is riding on a bus.
0,A man and a woman talk in a diner.,A man and a woman are riding on a bicycle.
0,A man is playing a guitar.,A man is cleaning a glass door.
1,A girl is singing and playing a guitar.,A young man is singing while playing the guitar.
2,A girl is communicating with sign language.,A young girl is using sign language.
0,A woman is doing weight exercises.,A woman is doing her hair.
2,A man is getting inside a car.,An elderly man is getting into a red car.
2,A big green ball knocks a potato over.,A large green ball hits a potato.
2,A cat is playing keyboards.,A cat is playing a piano.
2,Two dogs swim in a pool.,Dogs are swimming in a pool.
0,The man used a chopper to chop the onion.,The man used a machine to chop up a potatoe.
2,A woman slices tofu.,A woman is cutting tofu.
2,A herd of deer are crossing the street.,A herd of caribou are crossing a road.
2,The person is riding the horse.,A man is riding a horse.
0,Someone is feeding a animal.,Someone is playing a piano.
0,Someone is slicing tortila's.,Someone is riding a horse.
0,Someone is mixing ingrediants.,Someone is sewing things.
2,A rooster pecks at a dead mouse.,A chicken is pecking at a dead mouse.
2,A woman holds a kangaroo.,A woman is picking up a kangaroo.
0,A man is playing with frogs,A cat is playing with a camera.
0,Two men are talking.,Two men are playing guitar.
2,A man spreads butter on a big piece of bread.,A man is smearing butter on a slice of garlic bread.
2,A man is running across a high wire.,A man is running on rope.
0,A man is mowing a lawn.,A woman is cutting a lemon.
0,A man is opening a door.,A man is playing a guitar.
2,A man is slicing a potato into pieces.,A man is cutting a potato.
2,The woman is cutting cooked octopus.,A woman is chopping octopus.
0,A man is punching through boards.,A dog is running through water.
0,A man is dancing.,A man is eating bread.
0,Someone is playing a piano.,A man is playing a guitar.
1,Two foxes are eating from a plate on a brick patio.,Foxes are eating from a plate.
2,A boy is playing a key-board.,A boy is playing the piano.
2,A person plays a keyboard.,Someone is playing a keyboard.
0,A man is shooting a gun.,A man is spitting.
0,Someone is slicing an onion.,Someoen is peeling a potato.
0,A man is swimming.,A woman is slicing meat.
2,A man is playing the guitar.,A man plays an acoustic guitar.
0,A woman is slicing a pumpkin.,A woman is riding an elephant.
0,A woman is dancing.,A woman is kneading dough.
0,A woman is cracking eggs into a bowl.,A woman is placing skewers onto a rack.
2,A car is moving through a road.,A car is driving down the road.
0,Someone is greasing a pan.,Smeone is laying down.
0,A man is playing guitar.,A man is draining pasta.
0,A woman is drinking vodka.,A woman is exercising.
2,A woman is cutting meat into pieces.,A woman is cutting up some meat.
0,A man is rinsing a steak.,A man is playing a guitar.
0,A man is selling items.,A man is cleaning the house.
2,A man is jumping a wall.,A man jumps onto a short wall.
2,Runners race around a track.,Runners compete in a race.
0,A man is kicking a soccer ball.,A man is mixing a bowl.
0,A woman is frying something.,A woman is riding a horse.
0,A cat is licking a sucker.,A woman is slicing cucumber.
0,A woman is dancing by a fire.,A woman is taking a bath.
1,The man is slicing a fish open.,A man is slicing a potato.
2,Butter is melting in a pan.,A man is melting butter in a pan.
2,Three boys are dancing.,Kids are dancing.
